Table S1: IEI Candidate Genes without Filter,X1,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways,,
1,1897,1.62E-72,ROS1,1,1.47E-10,NEW,FALSE,TRUE,FALSE,,
2,1638,1.73E-72,PLB1,1,2.99E-12,NEW,TRUE,FALSE,FALSE,,
3,314,1.09E-60,CD36,1,5.63E-17,KNOWN,FALSE,TRUE,FALSE,,
4,2198,2.88E-59,TG,0.99867,0.0013303,NEW,TRUE,TRUE,TRUE,,
5,547,2.54E-58,DNAH11,1.19E-09,1,NEW,TRUE,FALSE,FALSE,,
6,572,4.50E-56,DUOX2,1,1.07E-09,NEW,TRUE,FALSE,FALSE,,
7,3,2.11E-55,ABCA7,1,5.07E-07,NEW,TRUE,FALSE,FALSE,,
8,1887,4.91E-55,RNF213,6.71E-11,1,NEW,TRUE,FALSE,FALSE,,
9,1392,1.48E-54,MYOF,0.99783,0.0021672,KNOWN,TRUE,FALSE,FALSE,,
10,1375,2.79E-54,MUC4,0.99998,1.66E-05,NEW,TRUE,FALSE,FALSE,,
11,2144,3.19E-52,SYNE1,8.49E-54,1,NEW,TRUE,FALSE,FALSE,,
12,1164,2.41E-47,LAMA2,2.74E-05,0.99997,KNOWN,FALSE,TRUE,FALSE,,
13,1165,8.83E-46,LAMA3,1.55E-07,1,NEW,TRUE,FALSE,FALSE,,
14,422,4.49E-45,COL22A1,0.99373,0.006274,NEW,TRUE,FALSE,FALSE,,
15,590,1.14E-44,DYNC2H1,9.24E-17,1,NEW,TRUE,FALSE,FALSE,,
16,1680,1.51E-42,PPL,0.99986,0.00014295,NEW,TRUE,FALSE,FALSE,,
17,475,4.63E-42,CUBN,4.24E-10,1,NEW,TRUE,FALSE,FALSE,,
18,2207,4.62E-41,THADA,0.99794,0.0020642,NEW,TRUE,FALSE,FALSE,,
19,522,1.07E-38,DDX60L,0.999,0.00099707,NEW,TRUE,FALSE,FALSE,,
20,1451,1.42E-38,NLRP2,1,1.21E-07,KNOWN,FALSE,TRUE,FALSE,,
21,961,3.63E-38,HMCN1,1.74E-27,1,NEW,TRUE,FALSE,FALSE,,
22,775,7.21E-37,FOCAD,0.72203,0.27797,NEW,TRUE,FALSE,FALSE,,
23,1365,7.87E-37,MST1R,1,4.80E-06,KNOWN,FALSE,TRUE,FALSE,,
24,1785,1.03E-36,PTPRH,0.99998,2.09E-05,NEW,FALSE,TRUE,FALSE,,
25,1389,2.03E-36,MYO3B,0.99693,0.0030746,NEW,TRUE,FALSE,FALSE,,
26,2357,2.95E-35,USP6,0.9923,0.0077019,NEW,FALSE,TRUE,FALSE,,
27,1991,6.09E-35,SH3TC1,0.99999,8.72E-06,NEW,TRUE,FALSE,FALSE,,
28,2405,2.64E-34,WRN,0.97217,0.027833,KNOWN,TRUE,TRUE,TRUE,,
29,155,3.67E-34,ATP8B4,0.99965,0.00034632,NEW,TRUE,FALSE,FALSE,,
30,1678,6.00E-34,PPFIBP2,0.99997,3.36E-05,NEW,TRUE,FALSE,FALSE,,
31,1926,8.97E-34,RTTN,0.00011886,0.99988,NEW,TRUE,FALSE,FALSE,,
32,1508,1.97E-33,OAS3,0.99998,1.82E-05,NEW,TRUE,FALSE,FALSE,,
33,1163,3.22E-32,LAMA1,2.36E-10,1,NEW,FALSE,TRUE,FALSE,,
34,1961,5.04E-32,SELP,0.99998,1.72E-05,KNOWN,TRUE,TRUE,TRUE,,
35,82,7.32E-32,ANO6,0.9997,0.00029551,NEW,TRUE,FALSE,FALSE,,
36,89,1.17E-31,AOX1,0.9281,0.071904,KNOWN,TRUE,FALSE,FALSE,,
37,385,1.89E-31,CGN,0.94998,0.050021,NEW,FALSE,TRUE,FALSE,,
38,1900,4.08E-31,RPGRIP1L,0.95902,0.040981,NEW,TRUE,FALSE,FALSE,,
39,1207,2.58E-30,LRRK2,6.37E-09,1,KNOWN,TRUE,TRUE,TRUE,,
40,413,4.29E-30,CNKSR1,0.99994,6.36E-05,KNOWN,FALSE,TRUE,FALSE,,
41,1298,7.76E-30,MCPH1,0.99999,1.26E-05,NEW,FALSE,TRUE,FALSE,,
42,2392,2.60E-29,VWA5A,0.99999,1.33E-05,NEW,TRUE,FALSE,FALSE,,
43,1091,5.71E-29,ITPR2,3.68E-10,1,NEW,TRUE,FALSE,FALSE,,
44,1332,1.26E-28,MKI67,0.0010241,0.99898,NEW,TRUE,FALSE,FALSE,,
45,1466,3.05E-28,NOX5,0.99997,2.96E-05,NEW,TRUE,FALSE,FALSE,,
46,1749,4.96E-28,PRUNE2,2.90E-05,0.99997,NEW,TRUE,FALSE,FALSE,,
47,875,2.88E-27,GPNMB,0.99999,8.06E-06,NEW,TRUE,FALSE,FALSE,,
48,1045,2.99E-27,IL3RA,1,2.22E-06,NEW,FALSE,TRUE,FALSE,,
49,1807,3.44E-27,RAD50,0.28401,0.71599,KNOWN,TRUE,FALSE,FALSE,,
50,2025,3.60E-27,SLC44A3,0.99997,3.41E-05,NEW,TRUE,FALSE,FALSE,,
51,1645,4.14E-27,PLD2,0.99297,0.0070263,NEW,TRUE,TRUE,TRUE,,
52,1669,8.05E-27,POLE,2.18E-08,1,NEW,FALSE,TRUE,FALSE,,
53,1061,8.50E-27,IQGAP2,0.007036,0.99296,KNOWN,TRUE,FALSE,FALSE,,
54,671,2.06E-26,ERAP1,0.99747,0.0025295,NEW,TRUE,FALSE,FALSE,,
55,1214,9.29E-26,LTK,0.99914,0.00086032,KNOWN,FALSE,TRUE,FALSE,,
56,47,1.08E-25,AHI1,0.83422,0.16578,NEW,TRUE,FALSE,FALSE,,
57,1772,1.42E-25,PTPN13,4.27E-08,1,KNOWN,TRUE,TRUE,TRUE,,
58,2145,1.65E-25,SYNE2,9.61E-48,1,NEW,TRUE,FALSE,FALSE,,
59,2393,3.22E-25,VWF,1.09E-10,1,NEW,TRUE,FALSE,FALSE,,
60,670,3.31E-25,EPSTI1,0.99998,1.85E-05,NEW,TRUE,FALSE,FALSE,,
61,2332,6.56E-25,TYRP1,0.99999,7.44E-06,NEW,TRUE,FALSE,FALSE,,
62,2401,6.88E-25,WNK4,0.98011,0.019887,NEW,FALSE,TRUE,FALSE,,
63,1556,8.03E-25,PCDH15,0.0061344,0.99387,NEW,TRUE,FALSE,FALSE,,
64,2147,9.89E-25,SYT8,1,4.92E-06,NEW,TRUE,FALSE,FALSE,,
65,1294,1.16E-24,MCF2L2,0.46951,0.53049,NEW,TRUE,FALSE,FALSE,,
66,390,1.21E-24,CHEK2,0.99992,7.64E-05,KNOWN,TRUE,TRUE,TRUE,,
