Table S2: IEI Candidate Genes with high (>.9) pLI Filter,pLI,AssociatedGene,pNull,pRec,InItan,Pathway1,Pathway2,BothPathways
1,1,AAK1,5.58E-18,6.05E-07,NEW,TRUE,TRUE,TRUE
2,0.99998,ABL1,3.94E-15,1.72E-05,KNOWN,TRUE,TRUE,TRUE
3,0.9301,ABLIM1,1.85E-10,0.069898,NEW,TRUE,FALSE,FALSE
4,0.93017,ACTA2,1.32E-05,0.069821,NEW,TRUE,FALSE,FALSE
5,0.99997,ACTN1,1.53E-16,3.25E-05,KNOWN,FALSE,TRUE,FALSE
6,0.99896,ACTR2,2.09E-09,0.0010389,KNOWN,FALSE,TRUE,FALSE
7,0.99969,ACVR1B,1.13E-10,0.00031361,KNOWN,FALSE,TRUE,FALSE
8,0.99928,ADCY5,5.86E-14,0.00071925,NEW,FALSE,TRUE,FALSE
9,0.9961,ADD2,8.84E-11,0.0039024,KNOWN,TRUE,FALSE,FALSE
10,0.9988,ADD3,2.44E-11,0.0011952,NEW,TRUE,FALSE,FALSE
11,0.99921,AEBP2,5.26E-09,0.00078725,NEW,TRUE,FALSE,FALSE
12,0.99996,AFF3,5.72E-17,4.18E-05,NEW,TRUE,FALSE,FALSE
13,0.99984,AGAP1,7.68E-15,0.00016213,NEW,TRUE,FALSE,FALSE
14,0.99896,AHSA1,1.03E-08,0.0010363,NEW,FALSE,TRUE,FALSE
15,0.99795,AIFM1,2.22E-09,0.0020511,KNOWN,FALSE,TRUE,FALSE
16,0.92909,AKAP13,1.51E-21,0.070907,NEW,TRUE,FALSE,FALSE
17,0.99983,AKAP6,2.49E-20,0.00017192,NEW,TRUE,FALSE,FALSE
18,0.9759,AKT1,3.80E-08,0.024102,KNOWN,TRUE,TRUE,TRUE
19,0.99958,AKT3,2.36E-10,0.00042409,NEW,TRUE,TRUE,TRUE
20,1,AMBRA1,1.24E-19,2.44E-07,NEW,TRUE,FALSE,FALSE
21,0.99666,AMOT,2.99E-10,0.00334,KNOWN,FALSE,TRUE,FALSE
22,0.95208,ANGPT1,2.10E-07,0.04792,KNOWN,TRUE,FALSE,FALSE
23,1,ANK3,1.28E-56,4.25E-21,KNOWN,TRUE,FALSE,FALSE
24,1,ANKRD11,1.85E-30,1.69E-11,NEW,TRUE,FALSE,FALSE
25,1,ANKRD28,8.35E-18,2.65E-06,NEW,TRUE,FALSE,FALSE
26,0.99998,ANKS1B,1.17E-17,2.18E-05,NEW,TRUE,FALSE,FALSE
27,0.98961,ANP32A,2.85E-06,0.010384,KNOWN,TRUE,FALSE,FALSE
28,0.98631,ANTXR1,1.91E-09,0.013688,NEW,TRUE,FALSE,FALSE
29,0.96811,APBB1,1.54E-08,0.031892,KNOWN,FALSE,TRUE,FALSE
30,1,APC,4.65E-34,5.56E-11,KNOWN,FALSE,TRUE,FALSE
31,0.98837,AR,3.12E-08,0.011631,KNOWN,TRUE,TRUE,TRUE
32,0.96322,ARAF,5.35E-07,0.036779,KNOWN,FALSE,TRUE,FALSE
33,0.94635,ARHGAP25,5.64E-08,0.053646,NEW,TRUE,FALSE,FALSE
34,0.99661,ARHGAP26,2.56E-12,0.0033878,NEW,TRUE,FALSE,FALSE
35,0.99999,ARHGAP31,2.90E-17,8.52E-06,NEW,FALSE,TRUE,FALSE
36,0.99978,ARHGAP32,2.36E-19,0.00022476,NEW,TRUE,TRUE,TRUE
37,1,ARHGAP35,2.05E-21,6.33E-09,NEW,FALSE,TRUE,FALSE
38,1,ARHGAP42,1.86E-17,1.91E-06,NEW,TRUE,FALSE,FALSE
39,0.99862,ARHGAP5,2.88E-13,0.0013832,KNOWN,FALSE,TRUE,FALSE
40,0.99845,ARHGAP6,1.12E-09,0.0015474,KNOWN,TRUE,FALSE,FALSE
41,1,ARHGEF12,7.22E-28,1.00E-08,KNOWN,FALSE,TRUE,FALSE
42,1,ARHGEF2,7.54E-20,3.84E-07,KNOWN,TRUE,TRUE,TRUE
43,0.99998,ARHGEF6,1.28E-13,1.94E-05,KNOWN,FALSE,TRUE,FALSE
44,0.99995,ARHGEF7,4.33E-14,4.61E-05,KNOWN,FALSE,TRUE,FALSE
45,1,ARID1A,5.87E-34,1.67E-13,KNOWN,TRUE,FALSE,FALSE
46,1,ARID1B,2.82E-32,3.04E-12,KNOWN,TRUE,FALSE,FALSE
47,0.99065,ARID3A,9.03E-08,0.0093488,NEW,TRUE,TRUE,TRUE
48,1,ARID5B,8.53E-17,9.62E-07,NEW,TRUE,FALSE,FALSE
49,0.99374,ARIH2,2.80E-10,0.006259,KNOWN,FALSE,TRUE,FALSE
50,0.99444,ARNTL,1.04E-09,0.0055556,NEW,FALSE,TRUE,FALSE
51,0.99394,ARRB1,3.13E-08,0.0060619,KNOWN,FALSE,TRUE,FALSE
