Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean,pLI,InItan,Pathway1,Pathway2,BothPathways,,
1,A2M,0.2,4.52E-11,KNOWN,TRUE,FALSE,FALSE,,
2,AAK1,1.172222222,1,NEW,TRUE,TRUE,TRUE,,
3,ABCA7,2.4,2.11E-55,NEW,TRUE,FALSE,FALSE,,
4,ABCB1,4.477777778,1.26E-05,KNOWN,TRUE,FALSE,FALSE,,
5,ABCB9,0.461111111,0.00025164,NEW,TRUE,FALSE,FALSE,,
6,ABCC1,0.466666667,0.0011727,KNOWN,TRUE,FALSE,FALSE,,
7,ABCC4,0.9,1.07E-07,NEW,TRUE,FALSE,FALSE,,
8,ABI1,61.95555556,0.63911,KNOWN,FALSE,TRUE,FALSE,,
9,ABL1,0.544444444,0.99998,KNOWN,TRUE,TRUE,TRUE,,
10,ABL2,0.35,3.64E-07,KNOWN,TRUE,FALSE,FALSE,,
11,ABLIM1,31.12777778,0.9301,NEW,TRUE,FALSE,FALSE,,
12,ACER3,0.766666667,0.87464,NEW,TRUE,FALSE,FALSE,,
13,ACP1,75.18888889,1.75E-08,KNOWN,TRUE,TRUE,TRUE,,
14,ACPP,13.03888889,2.55E-16,NEW,FALSE,TRUE,FALSE,,
15,ACSL5,19.89444444,2.89E-09,NEW,TRUE,FALSE,FALSE,,
16,ACTA1,12.50555556,1.14E-06,KNOWN,FALSE,TRUE,FALSE,,
17,ACTA2,12.06666667,0.93017,NEW,TRUE,FALSE,FALSE,,
18,ACTN1,42.61111111,0.99997,KNOWN,FALSE,TRUE,FALSE,,
19,ACTR2,130.1833333,0.99896,KNOWN,FALSE,TRUE,FALSE,,
20,ACVR1,1.688888889,0.3254,KNOWN,FALSE,TRUE,FALSE,,
21,ACVR1B,0.783333333,0.99969,KNOWN,FALSE,TRUE,FALSE,,
22,ACVRL1,0.161111111,0.00096719,KNOWN,FALSE,TRUE,FALSE,,
23,ADAM15,9.111111111,2.44E-16,KNOWN,TRUE,FALSE,FALSE,,
24,ADAM19,25.14444444,6.80E-05,NEW,FALSE,TRUE,FALSE,,
25,ADAR,9.977777778,0.026282,NEW,TRUE,FALSE,FALSE,,
26,ADCY7,6.511111111,9.48E-07,NEW,TRUE,FALSE,FALSE,,
27,ADD2,0.388888889,0.9961,KNOWN,TRUE,FALSE,FALSE,,
28,ADD3,66.6,0.9988,NEW,TRUE,FALSE,FALSE,,
29,ADORA2B,1.8,1.77E-05,KNOWN,TRUE,FALSE,FALSE,,
30,ADRB2,24.17777778,0.52545,KNOWN,TRUE,TRUE,TRUE,,
31,AEBP2,3.4,0.99921,NEW,TRUE,FALSE,FALSE,,
32,AEN,6.244444444,2.01E-10,NEW,TRUE,FALSE,FALSE,,
33,AFDN,0.194444444,NA,NEW,FALSE,TRUE,FALSE,,
34,AFF1,9.138888889,0.71038,KNOWN,TRUE,FALSE,FALSE,,
35,AFF3,6.133333333,0.99996,NEW,TRUE,FALSE,FALSE,,
36,AGAP1,0.138888889,0.99984,NEW,TRUE,FALSE,FALSE,,
37,AGFG2,0.811111111,0.00025383,NEW,TRUE,FALSE,FALSE,,
38,AHI1,4.511111111,1.08E-25,NEW,TRUE,FALSE,FALSE,,
39,AHNAK,25.38333333,0.89827,NEW,TRUE,FALSE,FALSE,,
40,AHSA1,62.27222222,0.99896,NEW,FALSE,TRUE,FALSE,,
41,AIFM1,14.51111111,0.99795,KNOWN,FALSE,TRUE,FALSE,,
42,AIFM2,1.011111111,1.11E-05,NEW,TRUE,FALSE,FALSE,,
43,AIM2,10.88333333,2.19E-09,NEW,TRUE,FALSE,FALSE,,
44,AKAP12,1.483333333,0.035666,NEW,FALSE,TRUE,FALSE,,
45,AKAP13,83.76111111,0.92909,NEW,TRUE,FALSE,FALSE,,
46,AKAP6,0.322222222,0.99983,NEW,TRUE,FALSE,FALSE,,
47,AKAP8,4.377777778,0.66425,KNOWN,FALSE,TRUE,FALSE,,
48,AKT1,10.64444444,0.9759,KNOWN,TRUE,TRUE,TRUE,,
49,AKT1S1,0.727777778,0.111,KNOWN,FALSE,TRUE,FALSE,,
50,AKT2,2.238888889,0.64432,KNOWN,TRUE,TRUE,TRUE,,
51,AKT3,0.416666667,0.99958,NEW,TRUE,TRUE,TRUE,,
52,ALCAM,3.45,0.73267,NEW,TRUE,FALSE,FALSE,,
53,ALDH1A2,1.411111111,0.36331,NEW,TRUE,FALSE,FALSE,,
54,ALDH1A3,0.033333333,0.14128,NEW,TRUE,FALSE,FALSE,,
55,ALOX5,38.81666667,1.21E-06,NEW,TRUE,FALSE,FALSE,,
56,ALOX5AP,1144.688889,0.070729,NEW,TRUE,FALSE,FALSE,,
57,ALPL,13.87777778,0.0003636,KNOWN,FALSE,TRUE,FALSE,,
58,AMBRA1,2.205555556,1,NEW,TRUE,FALSE,FALSE,,
59,AMOT,0.055555556,0.99666,KNOWN,FALSE,TRUE,FALSE,,
60,AMOTL1,0.072222222,0.0018316,NEW,TRUE,FALSE,FALSE,,
61,AMPD3,4.461111111,1.13E-12,NEW,TRUE,FALSE,FALSE,,
62,ANGPT1,0.45,0.95208,KNOWN,TRUE,FALSE,FALSE,,
63,ANGPT2,0.266666667,0.83208,KNOWN,TRUE,FALSE,FALSE,,
64,ANK3,1.538888889,1,KNOWN,TRUE,FALSE,FALSE,,
65,ANKRD11,3.388888889,1,NEW,TRUE,FALSE,FALSE,,
66,ANKRD28,0.883333333,1,NEW,TRUE,FALSE,FALSE,,
67,ANKRD44,23.16111111,0.33657,NEW,TRUE,FALSE,FALSE,,
68,ANKS1B,1.205555556,0.99998,NEW,TRUE,FALSE,FALSE,,
69,ANO6,2.583333333,7.32E-32,NEW,TRUE,FALSE,FALSE,,
70,ANP32A,19.40555556,0.98961,KNOWN,TRUE,FALSE,FALSE,,
71,ANXA1,553.7777778,1.20E-07,KNOWN,TRUE,TRUE,TRUE,,
72,ANXA2,1123.561111,9.77E-05,KNOWN,TRUE,FALSE,FALSE,,
73,ANXA4,22.90555556,1.19E-08,KNOWN,TRUE,FALSE,FALSE,,
74,AP3S2,7.988888889,2.33E-05,NEW,TRUE,FALSE,FALSE,,
75,APAF1,8.594444444,9.62E-06,KNOWN,TRUE,TRUE,TRUE,,
76,APBB1,18.21666667,0.96811,KNOWN,FALSE,TRUE,FALSE,,
77,APC,2.872222222,1,KNOWN,FALSE,TRUE,FALSE,,
78,APEX1,87.82222222,1.92E-07,KNOWN,TRUE,TRUE,TRUE,,
79,APH1A,8.027777778,0.79479,KNOWN,FALSE,TRUE,FALSE,,
80,APOBEC3D,4.166666667,1.36E-18,NEW,TRUE,FALSE,FALSE,,
