Table S4: IEI Candidate Genes with Average in B Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
1,B cell,ABCB1,1.35,KNOWN,TRUE,FALSE,FALSE,,
2,B cell,ABCB9,1.1,NEW,TRUE,FALSE,FALSE,,
3,B cell,ABI1,54.15,KNOWN,FALSE,TRUE,FALSE,,
4,B cell,ABLIM1,33.8,NEW,TRUE,FALSE,FALSE,,
5,B cell,ACP1,70.3,KNOWN,TRUE,TRUE,TRUE,,
6,B cell,ACSL5,10.6,NEW,TRUE,FALSE,FALSE,,
7,B cell,ACTA1,4.9,KNOWN,FALSE,TRUE,FALSE,,
8,B cell,ACTA2,2.85,NEW,TRUE,FALSE,FALSE,,
9,B cell,ACTR2,65.05,KNOWN,FALSE,TRUE,FALSE,,
10,B cell,ADAM15,1.6,KNOWN,TRUE,FALSE,FALSE,,
11,B cell,ADAM19,37.35,NEW,FALSE,TRUE,FALSE,,
12,B cell,ADAR,6.4,NEW,TRUE,FALSE,FALSE,,
13,B cell,ADCY7,2.75,NEW,TRUE,FALSE,FALSE,,
14,B cell,ADD2,1.45,KNOWN,TRUE,FALSE,FALSE,,
15,B cell,ADD3,43.2,NEW,TRUE,FALSE,FALSE,,
16,B cell,ADRB2,7.25,KNOWN,TRUE,TRUE,TRUE,,
17,B cell,AEBP2,2.05,NEW,TRUE,FALSE,FALSE,,
18,B cell,AEN,8.25,NEW,TRUE,FALSE,FALSE,,
19,B cell,AFF1,9.6,KNOWN,TRUE,FALSE,FALSE,,
20,B cell,AFF3,35.1,NEW,TRUE,FALSE,FALSE,,
21,B cell,AHI1,8.25,NEW,TRUE,FALSE,FALSE,,
22,B cell,AHNAK,11.6,NEW,TRUE,FALSE,FALSE,,
23,B cell,AHSA1,52.8,NEW,FALSE,TRUE,FALSE,,
24,B cell,AIFM1,9.7,KNOWN,FALSE,TRUE,FALSE,,
25,B cell,AIFM2,1.15,NEW,TRUE,FALSE,FALSE,,
26,B cell,AIM2,63.45,NEW,TRUE,FALSE,FALSE,,
27,B cell,AKAP13,50.65,NEW,TRUE,FALSE,FALSE,,
28,B cell,AKAP6,1.55,NEW,TRUE,FALSE,FALSE,,
29,B cell,AKAP8,3.75,KNOWN,FALSE,TRUE,FALSE,,
30,B cell,AKT1,4.15,KNOWN,TRUE,TRUE,TRUE,,
