Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
1,Dendritic Cell,ABCA7,5.25,NEW,TRUE,FALSE,FALSE,,
2,Dendritic Cell,ABI1,52.95,KNOWN,FALSE,TRUE,FALSE,,
3,Dendritic Cell,ACER3,1.4,NEW,TRUE,FALSE,FALSE,,
4,Dendritic Cell,ACP1,53.1,KNOWN,TRUE,TRUE,TRUE,,
5,Dendritic Cell,ACPP,16.2,NEW,FALSE,TRUE,FALSE,,
6,Dendritic Cell,ACSL5,18.1,NEW,TRUE,FALSE,FALSE,,
7,Dendritic Cell,ACTA1,13.8,KNOWN,FALSE,TRUE,FALSE,,
8,Dendritic Cell,ACTA2,4.9,NEW,TRUE,FALSE,FALSE,,
9,Dendritic Cell,ACTN1,20.7,KNOWN,FALSE,TRUE,FALSE,,
10,Dendritic Cell,ACTR2,130.1,KNOWN,FALSE,TRUE,FALSE,,
11,Dendritic Cell,ACVR1,1.4,KNOWN,FALSE,TRUE,FALSE,,
12,Dendritic Cell,ADAM15,30.2,KNOWN,TRUE,FALSE,FALSE,,
13,Dendritic Cell,ADAM19,32.4,NEW,FALSE,TRUE,FALSE,,
14,Dendritic Cell,ADAR,6.85,NEW,TRUE,FALSE,FALSE,,
15,Dendritic Cell,ADCY7,9.85,NEW,TRUE,FALSE,FALSE,,
16,Dendritic Cell,ADD3,22.55,NEW,TRUE,FALSE,FALSE,,
17,Dendritic Cell,ADORA2B,3.9,KNOWN,TRUE,FALSE,FALSE,,
18,Dendritic Cell,ADRB2,13.85,KNOWN,TRUE,TRUE,TRUE,,
19,Dendritic Cell,AEBP2,2.15,NEW,TRUE,FALSE,FALSE,,
20,Dendritic Cell,AEN,3.65,NEW,TRUE,FALSE,FALSE,,
21,Dendritic Cell,AFF1,13.3,KNOWN,TRUE,FALSE,FALSE,,
22,Dendritic Cell,AFF3,16.35,NEW,TRUE,FALSE,FALSE,,
23,Dendritic Cell,AHI1,11.05,NEW,TRUE,FALSE,FALSE,,
24,Dendritic Cell,AHNAK,40.35,NEW,TRUE,FALSE,FALSE,,
25,Dendritic Cell,AHSA1,61.3,NEW,FALSE,TRUE,FALSE,,
