Table S7: IEI Candidate Genes with Average in NK Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
1,NK cell,AAK1,1.6,NEW,TRUE,TRUE,TRUE,,
2,NK cell,ABCA7,2,NEW,TRUE,FALSE,FALSE,,
3,NK cell,ABCB1,19.8,KNOWN,TRUE,FALSE,FALSE,,
4,NK cell,ABCC4,1.9,NEW,TRUE,FALSE,FALSE,,
5,NK cell,ABI1,55.4,KNOWN,FALSE,TRUE,FALSE,,
6,NK cell,ABLIM1,68,NEW,TRUE,FALSE,FALSE,,
7,NK cell,ACP1,122.7,KNOWN,TRUE,TRUE,TRUE,,
8,NK cell,ACPP,3.3,NEW,FALSE,TRUE,FALSE,,
9,NK cell,ACSL5,29.3,NEW,TRUE,FALSE,FALSE,,
10,NK cell,ACTA1,9.2,KNOWN,FALSE,TRUE,FALSE,,
11,NK cell,ACTA2,3.9,NEW,TRUE,FALSE,FALSE,,
12,NK cell,ACTN1,4.5,KNOWN,FALSE,TRUE,FALSE,,
13,NK cell,ACTR2,114.1,KNOWN,FALSE,TRUE,FALSE,,
14,NK cell,ACVR1,1.5,KNOWN,FALSE,TRUE,FALSE,,
15,NK cell,ADAM15,1.8,KNOWN,TRUE,FALSE,FALSE,,
16,NK cell,ADAR,9.5,NEW,TRUE,FALSE,FALSE,,
17,NK cell,ADCY7,11,NEW,TRUE,FALSE,FALSE,,
18,NK cell,ADD3,96.3,NEW,TRUE,FALSE,FALSE,,
19,NK cell,ADRB2,22,KNOWN,TRUE,TRUE,TRUE,,
20,NK cell,AEBP2,7.2,NEW,TRUE,FALSE,FALSE,,
21,NK cell,AEN,4.2,NEW,TRUE,FALSE,FALSE,,
22,NK cell,AFF1,8.1,KNOWN,TRUE,FALSE,FALSE,,
23,NK cell,AFF3,2.4,NEW,TRUE,FALSE,FALSE,,
24,NK cell,AHI1,5.4,NEW,TRUE,FALSE,FALSE,,
25,NK cell,AHNAK,31.1,NEW,TRUE,FALSE,FALSE,,
26,NK cell,AHSA1,91.8,NEW,FALSE,TRUE,FALSE,,
27,NK cell,AIFM1,26,KNOWN,FALSE,TRUE,FALSE,,
28,NK cell,AIFM2,4.6,NEW,TRUE,FALSE,FALSE,,
29,NK cell,AKAP13,116.5,NEW,TRUE,FALSE,FALSE,,
30,NK cell,AKAP8,5,KNOWN,FALSE,TRUE,FALSE,,
31,NK cell,AKT1,12.3,KNOWN,TRUE,TRUE,TRUE,,
32,NK cell,AKT2,2.1,KNOWN,TRUE,TRUE,TRUE,,
33,NK cell,AKT3,1.4,NEW,TRUE,TRUE,TRUE,,
