Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean,InItan,Pathway1,Pathway2,BothPathways,,
1,T cell,AAK1,1.9,NEW,TRUE,TRUE,TRUE,,
2,T cell,ABCA7,1.371428571,NEW,TRUE,FALSE,FALSE,,
3,T cell,ABCB1,8.271428571,KNOWN,TRUE,FALSE,FALSE,,
4,T cell,ABCC4,1.1,NEW,TRUE,FALSE,FALSE,,
5,T cell,ABI1,63.68571429,KNOWN,FALSE,TRUE,FALSE,,
6,T cell,ABLIM1,59.1,NEW,TRUE,FALSE,FALSE,,
7,T cell,ACP1,101.8428571,KNOWN,TRUE,TRUE,TRUE,,
8,T cell,ACSL5,24.02857143,NEW,TRUE,FALSE,FALSE,,
9,T cell,ACTA1,10.35714286,KNOWN,FALSE,TRUE,FALSE,,
10,T cell,ACTA2,18.41428571,NEW,TRUE,FALSE,FALSE,,
11,T cell,ACTN1,33.34285714,KNOWN,FALSE,TRUE,FALSE,,
12,T cell,ACTR2,96.67142857,KNOWN,FALSE,TRUE,FALSE,,
13,T cell,ACVR1,2.557142857,KNOWN,FALSE,TRUE,FALSE,,
14,T cell,ADAM15,5.485714286,KNOWN,TRUE,FALSE,FALSE,,
15,T cell,ADAM19,5.257142857,NEW,FALSE,TRUE,FALSE,,
16,T cell,ADAR,10.62857143,NEW,TRUE,FALSE,FALSE,,
17,T cell,ADCY7,4.628571429,NEW,TRUE,FALSE,FALSE,,
18,T cell,ADD3,84.91428571,NEW,TRUE,FALSE,FALSE,,
19,T cell,ADRB2,37.77142857,KNOWN,TRUE,TRUE,TRUE,,
20,T cell,AEBP2,4.428571429,NEW,TRUE,FALSE,FALSE,,
21,T cell,AEN,10.61428571,NEW,TRUE,FALSE,FALSE,,
22,T cell,AFF1,8.457142857,KNOWN,TRUE,FALSE,FALSE,,
23,T cell,AGFG2,1.314285714,NEW,TRUE,FALSE,FALSE,,
24,T cell,AHI1,4.028571429,NEW,TRUE,FALSE,FALSE,,
25,T cell,AHNAK,22.71428571,NEW,TRUE,FALSE,FALSE,,
26,T cell,AHSA1,68.48571429,NEW,FALSE,TRUE,FALSE,,
27,T cell,AIFM1,13.65714286,KNOWN,FALSE,TRUE,FALSE,,
28,T cell,AIFM2,1.185714286,NEW,TRUE,FALSE,FALSE,,
29,T cell,AIM2,3.7,NEW,TRUE,FALSE,FALSE,,
30,T cell,AKAP13,81.58571429,NEW,TRUE,FALSE,FALSE,,
31,T cell,AKAP8,5.171428571,KNOWN,FALSE,TRUE,FALSE,,
32,T cell,AKT1,8.4,KNOWN,TRUE,TRUE,TRUE,,
33,T cell,AKT2,2.042857143,KNOWN,TRUE,TRUE,TRUE,,
34,T cell,ALCAM,1.028571429,NEW,TRUE,FALSE,FALSE,,
35,T cell,ALOX5AP,485.1857143,NEW,TRUE,FALSE,FALSE,,
36,T cell,AMBRA1,2.142857143,NEW,TRUE,FALSE,FALSE,,
37,T cell,AMPD3,3.057142857,NEW,TRUE,FALSE,FALSE,,
38,T cell,ANK3,2.471428571,KNOWN,TRUE,FALSE,FALSE,,
39,T cell,ANKRD11,2.828571429,NEW,TRUE,FALSE,FALSE,,
40,T cell,ANKRD44,21.15714286,NEW,TRUE,FALSE,FALSE,,
41,T cell,ANKS1B,1.371428571,NEW,TRUE,FALSE,FALSE,,
42,T cell,ANO6,2.057142857,NEW,TRUE,FALSE,FALSE,,
43,T cell,ANP32A,15.34285714,KNOWN,TRUE,FALSE,FALSE,,
44,T cell,ANXA1,459.2714286,KNOWN,TRUE,TRUE,TRUE,,
45,T cell,ANXA2,666.3142857,KNOWN,TRUE,FALSE,FALSE,,
46,T cell,ANXA4,13.62857143,KNOWN,TRUE,FALSE,FALSE,,
47,T cell,AP3S2,6.471428571,NEW,TRUE,FALSE,FALSE,,
48,T cell,APAF1,2.714285714,KNOWN,TRUE,TRUE,TRUE,,
49,T cell,APBB1,39.9,KNOWN,FALSE,TRUE,FALSE,,
50,T cell,APC,2.071428571,KNOWN,FALSE,TRUE,FALSE,,
51,T cell,APEX1,94.3,KNOWN,TRUE,TRUE,TRUE,,
52,T cell,APH1A,8.171428571,KNOWN,FALSE,TRUE,FALSE,,
53,T cell,APOBEC3D,5.385714286,NEW,TRUE,FALSE,FALSE,,
54,T cell,APOBEC3F,7.528571429,NEW,TRUE,FALSE,FALSE,,
55,T cell,APOL6,5.557142857,NEW,TRUE,FALSE,FALSE,,
56,T cell,ARAF,36.65714286,KNOWN,FALSE,TRUE,FALSE,,
57,T cell,ARFGAP1,4.285714286,NEW,FALSE,TRUE,FALSE,,
58,T cell,ARHGAP1,21.57142857,KNOWN,FALSE,TRUE,FALSE,,
59,T cell,ARHGAP10,5.457142857,NEW,TRUE,FALSE,FALSE,,
60,T cell,ARHGAP12,3.214285714,NEW,FALSE,TRUE,FALSE,,
61,T cell,ARHGAP15,124.6142857,NEW,TRUE,FALSE,FALSE,,
62,T cell,ARHGAP25,105.9857143,NEW,TRUE,FALSE,FALSE,,
63,T cell,ARHGAP26,1.471428571,NEW,TRUE,FALSE,FALSE,,
64,T cell,ARHGAP5,4.057142857,KNOWN,FALSE,TRUE,FALSE,,
65,T cell,ARHGDIB,2933.571429,KNOWN,FALSE,TRUE,FALSE,,
66,T cell,ARHGEF2,10.95714286,KNOWN,TRUE,TRUE,TRUE,,
67,T cell,ARHGEF3,73.02857143,KNOWN,TRUE,FALSE,FALSE,,
68,T cell,ARHGEF6,13.71428571,KNOWN,FALSE,TRUE,FALSE,,
69,T cell,ARHGEF7,7.085714286,KNOWN,FALSE,TRUE,FALSE,,
70,T cell,ARID1A,1.6,KNOWN,TRUE,FALSE,FALSE,,
71,T cell,ARID1B,3.385714286,KNOWN,TRUE,FALSE,FALSE,,
72,T cell,ARID5B,12.68571429,NEW,TRUE,FALSE,FALSE,,
73,T cell,ARIH2,32.45714286,KNOWN,FALSE,TRUE,FALSE,,
74,T cell,ARNTL,18.35714286,NEW,FALSE,TRUE,FALSE,,
75,T cell,ARRB1,6.142857143,KNOWN,FALSE,TRUE,FALSE,,
76,T cell,ARRB2,37.75714286,NEW,FALSE,TRUE,FALSE,,
77,T cell,ARSG,5.885714286,NEW,TRUE,FALSE,FALSE,,
78,T cell,ASCC3,3.857142857,NEW,TRUE,FALSE,FALSE,,
79,T cell,ASH2L,17.95714286,KNOWN,FALSE,TRUE,FALSE,,
80,T cell,ATF1,22.22857143,NEW,TRUE,TRUE,TRUE,,
81,T cell,ATF2,20.1,NEW,TRUE,TRUE,TRUE,,
82,T cell,ATF4,25.24285714,KNOWN,FALSE,TRUE,FALSE,,
83,T cell,ATG4C,9.942857143,NEW,TRUE,FALSE,FALSE,,
84,T cell,ATG7,12.71428571,KNOWN,FALSE,TRUE,FALSE,,
85,T cell,ATL1,1.714285714,NEW,TRUE,FALSE,FALSE,,
86,T cell,ATP13A1,2.785714286,NEW,TRUE,FALSE,FALSE,,
87,T cell,ATP6V0A1,1.228571429,KNOWN,TRUE,FALSE,FALSE,,
88,T cell,ATR,1.814285714,KNOWN,TRUE,TRUE,TRUE,,
89,T cell,AURKA,1.7,KNOWN,TRUE,TRUE,TRUE,,
90,T cell,AURKB,1.671428571,KNOWN,TRUE,TRUE,TRUE,,
91,T cell,AXIN1,4.671428571,KNOWN,TRUE,TRUE,TRUE,,
92,T cell,B3GAT3,14.48571429,NEW,TRUE,FALSE,FALSE,,
93,T cell,BACE1,2.414285714,KNOWN,FALSE,TRUE,FALSE,,
94,T cell,BACH1,7.257142857,NEW,TRUE,FALSE,FALSE,,
95,T cell,BAD,50.2,KNOWN,FALSE,TRUE,FALSE,,
96,T cell,BAG1,10.87142857,KNOWN,FALSE,TRUE,FALSE,,
97,T cell,BAG3,1.614285714,KNOWN,TRUE,FALSE,FALSE,,
98,T cell,BAK1,33.45714286,KNOWN,TRUE,TRUE,TRUE,,
99,T cell,BANP,21.15714286,KNOWN,TRUE,FALSE,FALSE,,
100,T cell,BARD1,5.785714286,NEW,FALSE,TRUE,FALSE,,
101,T cell,BAX,5.285714286,KNOWN,TRUE,TRUE,TRUE,,
102,T cell,BCAP31,445.4,KNOWN,FALSE,TRUE,FALSE,,
103,T cell,BCAS3,13.3,NEW,TRUE,FALSE,FALSE,,
104,T cell,BCL2,3.785714286,KNOWN,TRUE,TRUE,TRUE,,
105,T cell,BCL2A1,20.75714286,NEW,TRUE,FALSE,FALSE,,
106,T cell,BCL2L1,28.24285714,KNOWN,TRUE,TRUE,TRUE,,
107,T cell,BCL2L11,2.514285714,KNOWN,FALSE,TRUE,FALSE,,
108,T cell,BCL6,3.785714286,KNOWN,TRUE,TRUE,TRUE,,
109,T cell,BCOR,3.114285714,KNOWN,TRUE,FALSE,FALSE,,
110,T cell,BCR,1.457142857,KNOWN,FALSE,TRUE,FALSE,,
111,T cell,BECN1,109.2571429,KNOWN,FALSE,TRUE,FALSE,,
112,T cell,BHLHE40,12,KNOWN,TRUE,FALSE,FALSE,,
113,T cell,BID,73.41428571,KNOWN,TRUE,TRUE,TRUE,,
114,T cell,BIK,5,NEW,FALSE,TRUE,FALSE,,
115,T cell,BIN1,181.0714286,KNOWN,TRUE,FALSE,FALSE,,
116,T cell,BIRC2,23.57142857,KNOWN,TRUE,TRUE,TRUE,,
117,T cell,BIRC3,17.78571429,KNOWN,TRUE,TRUE,TRUE,,
118,T cell,BIRC5,2.871428571,KNOWN,TRUE,TRUE,TRUE,,
119,T cell,BLK,6.642857143,KNOWN,TRUE,TRUE,TRUE,,
120,T cell,BLVRA,50.17142857,NEW,TRUE,TRUE,TRUE,,
121,T cell,BMI1,4.957142857,KNOWN,FALSE,TRUE,FALSE,,
122,T cell,BNIP3,22.42857143,NEW,TRUE,FALSE,FALSE,,
123,T cell,BNIP3L,56.28571429,NEW,TRUE,FALSE,FALSE,,
124,T cell,BORA,3.242857143,NEW,FALSE,TRUE,FALSE,,
125,T cell,BRAF,1.471428571,KNOWN,FALSE,TRUE,FALSE,,
126,T cell,BRD8,13.98571429,KNOWN,TRUE,FALSE,FALSE,,
127,T cell,BST1,1.085714286,NEW,TRUE,FALSE,FALSE,,
