"","Target","PIDGene","InteractionType","Group","InPID"
"1","YY1","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"2","SP1","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"3","TP53","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"4","GATA4","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"5","CDX1","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"6","PDX1","ADA","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"7","MITF","AK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"8","HNF4A","AK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"9","STAT1","AK2","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"10","SPI1","B2M","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"11","USF1","B2M","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"12","NFKB1","B2M","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"13","USF2","B2M","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"14","PRKCQ","CARD11","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"15","PPP2CA","CARD11","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"16","PPP2CB","CARD11","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"17","ETS1","CD3D","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"18","LCK","CD3E","PIDGeneIsPTMSubstrate","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
"19","CREM","CD3Z","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",FALSE
"20","RELB","CD40","PIDGeneIsTranscribed","Table 1 Immunodeficiencies affecting cellular and humoral immunity",TRUE
