"","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","dip_url","sources","references","curation_effort","dorothea_level","n_references","n_resources"
"1","P35869","Q9ULH1","AHR","ASAP1",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"2","P35869","P04798","AHR","CYP1A1",1,1,0,1,1,0,NA,"DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;SIGNOR;TRRUST_DoRothEA","HTRIdb:10359656;HTRIdb:16972788;HTRIdb:17785579;HTRIdb:9698073;SIGNOR:17012224",5,"A",5,3
"3","P35869","P05177","AHR","CYP1A2",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA","HTRIdb:17785579",1,"A",1,2
"4","P35869","Q16678","AHR","CYP1B1",1,1,0,1,1,0,NA,"DoRothEA;HOCOMOCO_DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA","HTRIdb:12801909;HTRIdb:17785579",2,"A",2,2
"5","P35869","P11308","AHR","ERG",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"6","P01100","P35869","FOS","AHR",1,0,0,0,0,0,NA,"PAZAR_DoRothEA","",0,"A;D",0,0
"7","P35869","P01100","AHR","FOS",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA","DoRothEA:10478842;HTRIdb:10478842",2,"A;D",1,2
"8","P35869","P01106","AHR","MYC",1,0,0,0,0,0,NA,"FANTOM4_DoRothEA;TRRUST_DoRothEA","",0,"A",0,0
"9","P35869","P19224","AHR","UGT1A6",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA","DoRothEA:9466822;HTRIdb:9466822",2,"A",1,2
"10","P35869","Q14135","AHR","VGLL4",1,0,0,0,0,0,NA,"ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA","",0,"B",0,0
"11","P10275","P61221","AR","ABCE1",1,0,0,0,0,0,NA,"DoRothEA;DoRothEA-reviews_DoRothEA;HTRIdb","DoRothEA:17721441;HTRIdb:20610535",2,"A",2,2
"12","P10275","Q6JQN1","AR","ACAD10",1,0,0,0,0,0,NA,"DoRothEA-reviews_DoRothEA","",1,"A",0,0
"13","P10275","P15309","AR","ACPP",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;IntAct_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","HTRIdb:20610535",1,"A",1,2
"14","P10275","P02765","AR","AHSG",1,0,0,0,0,0,NA,"DoRothEA-reviews_DoRothEA;HOCOMOCO_DoRothEA","",1,"A",0,0
"15","P10275","Q12802","AR","AKAP13",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;PAZAR_DoRothEA;ReMap_DoRothEA","HTRIdb:20610535",1,"B",1,2
"16","P10275","P15121","AR","AKR1B1",1,0,0,0,0,0,NA,"DoRothEA;HTRIdb;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA","HTRIdb:20610535",1,"A",1,2
"17","P10275","P42330","AR","AKR1C3",1,0,1,1,0,1,NA,"HOCOMOCO_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
"18","P10275","P31749","AR","AKT1",1,1,0,1,1,0,NA,"RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA","",1,"A",0,0
