Table S1: IEI Candidate Genes without Filter,,,,
,pLI,AssociatedGene,pNull,pRec
1,4.52E-11,A2M,8.49E-09,1
2,1,AAK1,5.58E-18,6.05E-07
3,2.11E-55,ABCA7,1,5.07E-07
4,1.26E-05,ABCB1,5.56E-09,0.99999
5,0.00025164,ABCB9,0.00065257,0.9991
6,0.0011727,ABCC1,8.23E-12,0.99883
7,1.07E-07,ABCC4,1.78E-09,1
8,0.63911,ABI1,1.03E-05,0.36088
9,0.99998,ABL1,3.94E-15,1.72E-05
10,3.64E-07,ABL2,4.45E-06,1
11,0.9301,ABLIM1,1.85E-10,0.069898
12,0.87464,ACER3,1.22E-05,0.12534
13,1.75E-08,ACP1,0.93017,0.06983
14,2.55E-16,ACPP,0.99132,0.0086825
15,2.89E-09,ACSL5,0.0009302,0.99907
16,1.14E-06,ACTA1,0.41379,0.5862
17,0.93017,ACTA2,1.32E-05,0.069821
18,0.99997,ACTN1,1.53E-16,3.25E-05
19,0.99896,ACTR2,2.09E-09,0.0010389
20,0.3254,ACVR1,2.52E-05,0.67457
21,0.99969,ACVR1B,1.13E-10,0.00031361
22,0.00096719,ACVRL1,0.0022927,0.99674
23,2.44E-16,ADAM15,0.054813,0.94519
24,6.80E-05,ADAM19,2.94E-07,0.99993
25,3.12E-12,ADAMTSL1,6.60E-10,1
26,0.026282,ADAR,3.17E-08,0.97372
27,0.99928,ADCY5,5.86E-14,0.00071925
28,9.48E-07,ADCY7,1.12E-06,1
29,0.9961,ADD2,8.84E-11,0.0039024
30,0.9988,ADD3,2.44E-11,0.0011952
31,1.71E-11,ADH1A,0.9683,0.031702
32,0.015215,ADORA1,0.097409,0.88738
33,1.77E-05,ADORA2B,0.53986,0.46012
34,0.00081816,ADRA2A,0.20337,0.79582
35,0.52545,ADRB2,0.0031518,0.47139
36,0.99921,AEBP2,5.26E-09,0.00078725
37,2.01E-10,AEN,0.98098,0.019022
38,NA,AFDN,NA,NA
39,0.71038,AFF1,3.55E-10,0.28962
40,0.99996,AFF3,5.72E-17,4.18E-05
41,1.14E-11,AFP,0.086727,0.91327
42,0.99984,AGAP1,7.68E-15,0.00016213
43,6.35E-16,AGER,0.98516,0.014845
44,0.00025383,AGFG2,0.015188,0.98456
45,4.97E-08,AGT,0.76986,0.23014
46,0.00053161,AGTR1,0.28774,0.71173
47,1.08E-25,AHI1,0.83422,0.16578
48,0.89827,AHNAK,2.75E-16,0.10173
49,0.99896,AHSA1,1.03E-08,0.0010363
50,0.99795,AIFM1,2.22E-09,0.0020511
51,1.11E-05,AIFM2,0.17797,0.82202
52,2.19E-09,AIM2,0.92404,0.075964
53,0.035666,AKAP12,9.86E-08,0.96433
54,0.92909,AKAP13,1.51E-21,0.070907
55,0.99983,AKAP6,2.49E-20,0.00017192
56,0.66425,AKAP8,1.65E-06,0.33575
57,0.9759,AKT1,3.80E-08,0.024102
58,0.111,AKT1S1,0.025939,0.86306
59,0.64432,AKT2,9.81E-06,0.35567
60,0.99958,AKT3,2.36E-10,0.00042409
61,0.73267,ALCAM,8.23E-07,0.26732
62,0.36331,ALDH1A2,1.87E-05,0.63667
63,0.14128,ALDH1A3,0.00015006,0.85857
64,3.23E-06,ALK,6.56E-11,1
65,1.21E-06,ALOX5,9.60E-05,0.9999
66,0.070729,ALOX5AP,0.051608,0.87766
67,0.0003636,ALPL,0.0018949,0.99774
68,1,AMBRA1,1.24E-19,2.44E-07
69,3.40E-12,AMH,0.98768,0.012321
70,2.70E-10,AMHR2,0.10549,0.89451
71,0.99666,AMOT,2.99E-10,0.00334
72,0.0018316,AMOTL1,3.12E-07,0.99817
73,1.13E-12,AMPD3,0.095375,0.90463
74,0.95208,ANGPT1,2.10E-07,0.04792
75,0.83208,ANGPT2,1.09E-06,0.16792
76,1,ANK3,1.28E-56,4.25E-21
77,2.09E-10,ANKFN1,0.00165,0.99835
78,1,ANKRD11,1.85E-30,1.69E-11
79,1,ANKRD28,8.35E-18,2.65E-06
80,0.33657,ANKRD44,0.00056124,0.66287
81,0.99998,ANKS1B,1.17E-17,2.18E-05
82,7.32E-32,ANO6,0.9997,0.00029551
83,0.98961,ANP32A,2.85E-06,0.010384
84,0.98631,ANTXR1,1.91E-09,0.013688
85,1.20E-07,ANXA1,0.19027,0.80973
86,9.77E-05,ANXA2,0.012195,0.98771
87,1.19E-08,ANXA4,0.20619,0.79381
88,6.27E-11,AOC3,0.36833,0.63167
89,1.17E-31,AOX1,0.9281,0.071904
90,2.33E-05,AP3S2,0.48298,0.51699
91,9.62E-06,APAF1,1.65E-09,0.99999
92,0.96811,APBB1,1.54E-08,0.031892
93,1,APC,4.65E-34,5.56E-11
94,0.031714,APCS,0.34734,0.62095
95,1.92E-07,APEX1,0.55414,0.44586
96,0.79479,APH1A,0.00022885,0.20498
97,1.36E-18,APOBEC3D,0.99923,0.000768
98,1.35E-07,APOBEC3F,0.17103,0.82897
99,0.0018685,APOE,0.086502,0.91163
100,0.0010662,APOL4,0.37697,0.62197
101,0.096029,APOL6,0.31172,0.59225
102,0.046544,APP,6.55E-08,0.95346
103,0.98837,AR,3.12E-08,0.011631
104,0.96322,ARAF,5.35E-07,0.036779
105,0.47061,AREG,0.021846,0.50754
106,0.0015429,ARFGAP1,0.00023811,0.99822
107,0.76774,ARHGAP1,1.33E-05,0.23225
108,1.31E-17,ARHGAP10,0.32542,0.67458
109,5.51E-07,ARHGAP12,1.21E-05,0.99999
110,1.37E-08,ARHGAP15,0.052122,0.94788
111,3.40E-09,ARHGAP22,0.073763,0.92624
112,3.95E-10,ARHGAP24,0.015621,0.98438
113,0.94635,ARHGAP25,5.64E-08,0.053646
114,0.99661,ARHGAP26,2.56E-12,0.0033878
115,0.99999,ARHGAP31,2.90E-17,8.52E-06
116,0.99978,ARHGAP32,2.36E-19,0.00022476
117,0.028562,ARHGAP33,5.66E-09,0.97144
118,1,ARHGAP35,2.05E-21,6.33E-09
119,1,ARHGAP42,1.86E-17,1.91E-06
120,0.99862,ARHGAP5,2.88E-13,0.0013832
121,0.99845,ARHGAP6,1.12E-09,0.0015474
122,0.0006377,ARHGDIB,0.25067,0.74869
123,0.00047308,ARHGEF10L,3.67E-09,0.99953
124,1,ARHGEF12,7.22E-28,1.00E-08
125,1,ARHGEF2,7.54E-20,3.84E-07
126,0.0040454,ARHGEF3,1.20E-05,0.99594
127,0.99998,ARHGEF6,1.28E-13,1.94E-05
128,0.99995,ARHGEF7,4.33E-14,4.61E-05
129,1,ARID1A,5.87E-34,1.67E-13
130,1,ARID1B,2.82E-32,3.04E-12
131,0.99065,ARID3A,9.03E-08,0.0093488
132,1,ARID5B,8.53E-17,9.62E-07
133,0.99374,ARIH2,2.80E-10,0.006259
134,0.99444,ARNTL,1.04E-09,0.0055556
135,0.99394,ARRB1,3.13E-08,0.0060619
136,0.50658,ARRB2,3.08E-05,0.49339
137,1.71E-07,ARRDC4,0.34223,0.65777
138,6.37E-10,ARSG,0.58213,0.41787
139,5.04E-11,ARVCF,0.012385,0.98762
140,1,ASAP1,1.66E-19,1.97E-06
141,1.15E-20,ASCC3,5.56E-11,1
142,0.99968,ASH2L,4.73E-12,0.00031653
143,0.63426,ATF1,0.00026187,0.36548
144,0.99131,ATF2,1.53E-08,0.0086885
145,0.089296,ATF3,0.036568,0.87414
146,0.015659,ATF4,0.094186,0.89015
147,4.67E-17,ATG4C,0.99383,0.0061658
148,7.38E-12,ATG7,0.13978,0.86022
149,0.98109,ATL1,4.22E-09,0.018911
150,0.017833,ATOH1,0.08061,0.90156
151,0.9997,ATP11C,1.64E-13,0.00029572
152,0.98939,ATP13A1,3.46E-13,0.01061
153,0.99945,ATP2A2,1.51E-13,0.00055087
154,0.99797,ATP6V0A1,7.39E-13,0.0020346
155,3.67E-34,ATP8B4,0.99965,0.00034632
156,3.52E-09,ATR,3.81E-19,1
157,1.99E-05,ATRIP,0.00020664,0.99977
158,0.97498,ATXN1,2.06E-07,0.02502
159,0.8676,AURKA,1.41E-05,0.13238
160,0.0044521,AURKB,0.0061422,0.98941
161,0.99934,AUTS2,4.77E-14,0.00066098
162,0.40765,AXIN1,5.43E-07,0.59235
163,0.012951,AXL,9.05E-08,0.98705
164,2.71E-08,B3GAT3,0.70147,0.29853
165,0.87888,BACE1,2.25E-06,0.12112
166,0.57072,BACH1,1.85E-05,0.42926
167,0.0046237,BAD,0.29875,0.69663
168,6.53E-06,BAG1,0.27741,0.72258
169,0.61738,BAG3,6.16E-05,0.38256
170,7.40E-06,BAK1,0.48989,0.5101
171,0.99388,BANP,6.48E-09,0.0061187
172,1.38E-24,BARD1,0.99969,0.00030599
173,0.31746,BAX,0.015156,0.66739
174,0.0039762,BBC3,0.33116,0.66487
175,0.43366,BCAP31,0.0063174,0.56002
176,0.99808,BCAR1,3.81E-10,0.0019177
177,0.58213,BCAR3,1.39E-07,0.41787
178,0.00013819,BCAS3,2.15E-08,0.99986
179,3.80E-08,BCAT1,0.19698,0.80302
180,0.96998,BCL11A,3.23E-07,0.030024
181,0.55903,BCL2,0.011367,0.4296
182,0.20785,BCL2A1,0.03755,0.7546
183,0.93667,BCL2L1,0.00025013,0.063076
184,0.88857,BCL2L11,0.0010542,0.11037
185,3.33E-05,BCL2L14,0.17978,0.82018
186,0.98871,BCL3,3.50E-06,0.011289
187,0.96038,BCL6,1.30E-07,0.039615
188,1,BCOR,2.32E-16,2.80E-06
189,0.98761,BCR,5.06E-13,0.012391
190,0.11863,BDKRB2,0.023248,0.85812
191,0.65626,BDNF,0.0010534,0.34268
192,0.93717,BECN1,4.15E-07,0.062829
193,0.45229,BGN,0.0054972,0.54222
194,0.99444,BHLHE40,6.18E-07,0.0055552
195,1.56E-11,BID,0.99182,0.0081772
196,5.03E-06,BIK,0.86199,0.13801
197,0.77822,BIN1,9.69E-08,0.22178
198,0.42708,BIRC2,1.14E-05,0.57291
199,0.065597,BIRC3,0.00011225,0.93429
200,0.055854,BIRC5,0.071441,0.8727
201,NA,BIRC8,NA,NA
202,8.35E-14,BLK,0.87016,0.12984
203,0.00034786,BLVRA,0.044361,0.95529
204,0.94286,BMI1,7.97E-06,0.057135
205,0.98799,BMP2,4.07E-06,0.012003
206,0.9564,BMP4,2.00E-05,0.04358
207,6.59E-07,BMPER,0.00022867,0.99977
208,0.99863,BMPR1B,8.29E-10,0.0013688
209,0.99998,BMPR2,1.36E-15,2.15E-05
210,0.006673,BMX,0.00014197,0.99319
211,0.92762,BNC2,2.43E-08,0.072382
212,1.97E-05,BNIP3,0.51792,0.48206
213,0.15274,BNIP3L,0.015012,0.83225
214,0.00032563,BORA,0.0022184,0.99746
215,0.99995,BRAF,1.91E-15,4.76E-05
216,1.56E-07,BRD8,2.52E-08,1
217,4.21E-11,BST1,0.89927,0.10073
218,0.00042516,BST2,0.33527,0.66431
219,0.00011935,BTBD1,0.0092188,0.99066
220,0.062276,BTC,0.061677,0.87605
221,0.53641,BTG1,0.01351,0.45008
222,0.019033,BTG2,0.2314,0.74957
223,0.91582,BTG3,0.00010526,0.084073
224,3.40E-21,BTN2A1,0.99992,8.34E-05
225,1.38E-11,BTN2A2,0.81381,0.18619
226,5.87E-09,BTN3A1,0.58294,0.41706
227,1.10E-10,BTN3A2,0.90756,0.092439
228,0.011942,BTRC,5.04E-07,0.98806
229,4.88E-09,BUB1,3.64E-06,1
230,7.00E-10,BUB1B,4.90E-07,1
231,0.45739,C4BPA,9.08E-06,0.5426
232,0.40249,C5AR1,0.1178,0.47971
233,0.068013,CAB39,0.00257,0.92942
234,0.0054966,CABLES1,0.0009278,0.99358
235,5.83E-09,CACHD1,5.71E-07,1
236,1,CACNA1A,8.29E-38,4.32E-13
237,0.99879,CALD1,1.03E-12,0.0012117
238,0.94473,CALM1,0.00017768,0.055091
239,0.92086,CALM2,0.00043946,0.078701
240,0.89133,CALR,8.37E-06,0.10866
241,0.99845,CAMK2A,4.59E-11,0.0015489
242,0.73914,CAMK2B,3.14E-08,0.26086
243,0.002287,CAMK2D,2.73E-05,0.99769
244,0.9991,CAMK2G,1.22E-11,0.00090008
245,0.50957,CAMK4,0.0001484,0.49028
246,0.86635,CANX,1.20E-07,0.13365
247,5.86E-10,CAPN1,0.00037724,0.99962
248,3.52E-22,CAPN2,0.97054,0.029456
249,3.52E-05,CASP1,0.048295,0.95167
250,0.0015026,CASP2,0.0012196,0.99728
251,0.10017,CASP3,0.0066129,0.89322
252,3.05E-08,CASP4,0.47481,0.52519
253,1.75E-16,CASP5,0.99638,0.0036221
254,0.00012665,CASP6,0.14457,0.8553
255,5.36E-05,CASP7,0.0278,0.97215
256,NA,CASP8AP2,NA,NA
257,7.38E-06,CASP9,0.083837,0.91616
258,4.12E-12,CAST,0.0038178,0.99618
259,1,CASZ1,1.74E-20,2.10E-07
260,1.63E-10,CAT,0.40316,0.59684
261,0.008274,CAV1,0.18514,0.80659
262,0.00060921,CBL,1.52E-06,0.99939
263,0.99825,CBLB,5.13E-13,0.0017518
264,3.08E-05,CBS,0.0026829,0.99729
265,0.94099,CCAR2,1.20E-10,0.059006
266,0.040132,CCDC12,0.027311,0.93256
267,6.50E-16,CCDC57,0.6606,0.3394
268,0.57714,CCDC6,1.75E-05,0.42284
269,3.30E-08,CCDC88C,3.24E-12,1
270,3.81E-06,CCDC91,0.010706,0.98929
271,0.010211,CCL11,0.36423,0.62556
272,0.00013932,CCL17,0.75114,0.24872
273,0.31691,CCL19,0.062823,0.62027
274,0.60786,CCL2,0.032341,0.3598
275,0.00024242,CCL20,0.67068,0.32908
276,0.036239,CCL21,0.12182,0.84194
277,0.0084014,CCL22,0.40761,0.58399
