Table S3: IEI Candidate Genes with Average in all Immune Cells > 1 TPM Filter,Gene,mean
1,A2M,0.2
2,AAK1,1.172222222
3,ABCA7,2.4
4,ABCB1,4.477777778
5,ABCB9,0.461111111
6,ABCC1,0.466666667
7,ABCC4,0.9
8,ABI1,61.95555556
9,ABL1,0.544444444
10,ABL2,0.35
11,ABLIM1,31.12777778
12,ACER3,0.766666667
13,ACP1,75.18888889
14,ACPP,13.03888889
15,ACSL5,19.89444444
16,ACTA1,12.50555556
17,ACTA2,12.06666667
18,ACTN1,42.61111111
19,ACTR2,130.1833333
20,ACVR1,1.688888889
21,ACVR1B,0.783333333
22,ACVRL1,0.161111111
23,ADAM15,9.111111111
24,ADAM19,25.14444444
25,ADAR,9.977777778
26,ADCY7,6.511111111
27,ADD2,0.388888889
28,ADD3,66.6
29,ADORA2B,1.8
30,ADRB2,24.17777778
31,AEBP2,3.4
32,AEN,6.244444444
33,AFDN,0.194444444
34,AFF1,9.138888889
35,AFF3,6.133333333
36,AGAP1,0.138888889
37,AGFG2,0.811111111
38,AHI1,4.511111111
39,AHNAK,25.38333333
40,AHSA1,62.27222222
41,AIFM1,14.51111111
42,AIFM2,1.011111111
43,AIM2,10.88333333
44,AKAP12,1.483333333
45,AKAP13,83.76111111
46,AKAP6,0.322222222
47,AKAP8,4.377777778
48,AKT1,10.64444444
49,AKT1S1,0.727777778
50,AKT2,2.238888889
51,AKT3,0.416666667
52,ALCAM,3.45
53,ALDH1A2,1.411111111
54,ALDH1A3,0.033333333
55,ALOX5,38.81666667
56,ALOX5AP,1144.688889
57,ALPL,13.87777778
58,AMBRA1,2.205555556
59,AMOT,0.055555556
60,AMOTL1,0.072222222
61,AMPD3,4.461111111
62,ANGPT1,0.45
63,ANGPT2,0.266666667
64,ANK3,1.538888889
65,ANKRD11,3.388888889
66,ANKRD28,0.883333333
67,ANKRD44,23.16111111
68,ANKS1B,1.205555556
69,ANO6,2.583333333
70,ANP32A,19.40555556
71,ANXA1,553.7777778
72,ANXA2,1123.561111
73,ANXA4,22.90555556
74,AP3S2,7.988888889
75,APAF1,8.594444444
76,APBB1,18.21666667
77,APC,2.872222222
78,APEX1,87.82222222
79,APH1A,8.027777778
80,APOBEC3D,4.166666667
81,APOBEC3F,9.144444444
82,APOL4,0.222222222
83,APOL6,4.322222222
84,APP,3.383333333
85,AR,0.105555556
86,ARAF,36.84444444
87,AREG,1.227777778
88,ARFGAP1,4.377777778
89,ARHGAP1,25.77222222
90,ARHGAP10,3.411111111
91,ARHGAP12,2.25
92,ARHGAP15,94.6
93,ARHGAP22,0.133333333
94,ARHGAP24,5.277777778
95,ARHGAP25,133.4111111
96,ARHGAP26,2.85
97,ARHGAP31,1.194444444
98,ARHGAP32,0.138888889
99,ARHGAP35,0.272222222
100,ARHGAP42,0.05
101,ARHGAP5,3.3
102,ARHGAP6,0.033333333
103,ARHGDIB,2674.311111
104,ARHGEF10L,2.533333333
105,ARHGEF12,0.05
106,ARHGEF2,12.75555556
107,ARHGEF3,38.26111111
108,ARHGEF6,15.42222222
109,ARHGEF7,7.327777778
110,ARID1A,1.477777778
111,ARID1B,3.288888889
112,ARID3A,1.083333333
113,ARID5B,9.827777778
114,ARIH2,27.63888889
115,ARNTL,13.28333333
116,ARRB1,24.31111111
117,ARRB2,70.76111111
118,ARRDC4,0.45
119,ARSG,5.75
120,ARVCF,0.005555556
121,ASAP1,1.638888889
122,ASCC3,3.388888889
123,ASH2L,20.37777778
124,ATF1,17.73888889
125,ATF2,16.90555556
126,ATF3,0.9
127,ATF4,25.41666667
128,ATG4C,13.75555556
129,ATG7,34.58888889
130,ATL1,2.116666667
131,ATP11C,0.572222222
132,ATP13A1,2.905555556
133,ATP2A2,0.35
134,ATP6V0A1,4.894444444
135,ATP8B4,1.188888889
136,ATR,1.511111111
137,ATRIP,0.45
138,ATXN1,0.311111111
139,AURKA,1.972222222
140,AURKB,0.916666667
141,AUTS2,1.461111111
142,AXIN1,2.716666667
143,AXL,2.555555556
144,B3GAT3,16.91111111
145,BACE1,1.466666667
146,BACH1,22.17777778
147,BAD,54.45
