Table S4: IEI Candidate Genes with Average in B Cells > 1 TPM Filter,CellType,Gene,mean
1,B cell,ABCB1,1.35
2,B cell,ABCB9,1.1
3,B cell,ABI1,54.15
4,B cell,ABLIM1,33.8
5,B cell,ACP1,70.3
6,B cell,ACSL5,10.6
7,B cell,ACTA1,4.9
8,B cell,ACTA2,2.85
9,B cell,ACTR2,65.05
10,B cell,ADAM15,1.6
11,B cell,ADAM19,37.35
12,B cell,ADAR,6.4
13,B cell,ADCY7,2.75
14,B cell,ADD2,1.45
15,B cell,ADD3,43.2
16,B cell,ADRB2,7.25
17,B cell,AEBP2,2.05
18,B cell,AEN,8.25
19,B cell,AFF1,9.6
20,B cell,AFF3,35.1
21,B cell,AHI1,8.25
22,B cell,AHNAK,11.6
23,B cell,AHSA1,52.8
24,B cell,AIFM1,9.7
25,B cell,AIFM2,1.15
26,B cell,AIM2,63.45
27,B cell,AKAP13,50.65
28,B cell,AKAP6,1.55
29,B cell,AKAP8,3.75
30,B cell,AKT1,4.15
31,B cell,AKT2,2.15
32,B cell,ALCAM,2.85
33,B cell,ALOX5,37.1
34,B cell,ALOX5AP,308.15
35,B cell,ALPL,1.15
36,B cell,AMBRA1,1.7
37,B cell,AMPD3,5.1
38,B cell,ANK3,1.9
39,B cell,ANKRD11,1.95
40,B cell,ANKRD44,19.55
41,B cell,ANP32A,13.45
42,B cell,ANXA1,4.5
43,B cell,ANXA2,362.05
44,B cell,ANXA4,27.3
45,B cell,AP3S2,4
46,B cell,APAF1,4.15
47,B cell,APBB1,8.85
48,B cell,APC,2.25
49,B cell,APEX1,102.1
50,B cell,APH1A,6
51,B cell,APOBEC3D,4.75
52,B cell,APOBEC3F,22.7
53,B cell,APP,1.25
54,B cell,ARAF,24.5
55,B cell,ARFGAP1,2.95
56,B cell,ARHGAP1,11
57,B cell,ARHGAP12,2
58,B cell,ARHGAP15,65.05
59,B cell,ARHGAP24,29.15
60,B cell,ARHGAP25,91.9
61,B cell,ARHGAP5,4.3
62,B cell,ARHGDIB,1636.75
63,B cell,ARHGEF2,10.5
64,B cell,ARHGEF3,15.3
65,B cell,ARHGEF6,4.1
66,B cell,ARHGEF7,7.15
67,B cell,ARID1A,1.35
68,B cell,ARID1B,4.5
69,B cell,ARID5B,27.1
70,B cell,ARIH2,20
71,B cell,ARNTL,2.95
72,B cell,ARRB2,7
73,B cell,ARSG,2.55
74,B cell,ASCC3,3.45
75,B cell,ASH2L,14
76,B cell,ATF1,14.1
77,B cell,ATF2,11.25
78,B cell,ATF4,23.4
79,B cell,ATG4C,23.15
80,B cell,ATG7,9.35
81,B cell,ATL1,1.1
82,B cell,ATP13A1,1.6
83,B cell,ATP6V0A1,4.6
84,B cell,ATR,1.55
85,B cell,AURKA,1.2
86,B cell,AURKB,1.05
87,B cell,AUTS2,6.6
88,B cell,B3GAT3,10.15
89,B cell,BACE1,1.2
90,B cell,BACH1,8.35
91,B cell,BAD,41.05
92,B cell,BAG1,10.8
93,B cell,BAK1,16.35
94,B cell,BANP,17.4
95,B cell,BARD1,7.15
96,B cell,BAX,5.1
97,B cell,BCAP31,295.6
98,B cell,BCAR3,1.05
99,B cell,BCAS3,9
100,B cell,BCL11A,275.45
101,B cell,BCL2,2.6
102,B cell,BCL2A1,31.35
103,B cell,BCL2L1,5.1
104,B cell,BCL2L11,2.05
105,B cell,BCL6,8.6
106,B cell,BCOR,2.9
107,B cell,BECN1,76.85
108,B cell,BHLHE40,3.95
109,B cell,BID,29.15
110,B cell,BIK,9.25
111,B cell,BIN1,124.85
112,B cell,BIRC2,10.65
113,B cell,BIRC3,71.85
114,B cell,BLK,112.9
115,B cell,BLVRA,14.7
116,B cell,BMI1,2.4
117,B cell,BNIP3,7.5
118,B cell,BNIP3L,51.85
119,B cell,BORA,1.9
120,B cell,BRD8,7.7
121,B cell,BST1,1.1
122,B cell,BST2,91.35
123,B cell,BTBD1,1.85
124,B cell,BTG1,289.6
125,B cell,BTG2,21
126,B cell,BTG3,4.9
127,B cell,BTN2A1,5.9
128,B cell,BTN2A2,20.45
129,B cell,BTN3A1,10.4
130,B cell,BTN3A2,40.55
131,B cell,BTRC,1.55
132,B cell,CAB39,1.95
133,B cell,CALM1,255.2
134,B cell,CALM2,470.05
135,B cell,CALR,65.2
136,B cell,CAMK2D,13.35
137,B cell,CAMK2G,8.9
138,B cell,CANX,14.7
139,B cell,CAPN1,24.05
140,B cell,CAPN2,16.1
141,B cell,CASP1,26.05
142,B cell,CASP2,21.15
143,B cell,CASP3,16
144,B cell,CASP4,74.85
145,B cell,CASP6,4.75
146,B cell,CASP7,7.15
147,B cell,CASP8AP2,8.8
148,B cell,CASP9,14.4
149,B cell,CAST,54.05
150,B cell,CAT,89
151,B cell,CAV1,2.05
152,B cell,CBLB,2.5
153,B cell,CCAR2,14.3
154,B cell,CCDC12,136.5
155,B cell,CCDC6,3.25
156,B cell,CCDC88C,1.35
157,B cell,CCDC91,4.15
158,B cell,CCL3,1.65
159,B cell,CCL4,5.65
160,B cell,CCL5,12.25
161,B cell,CCM2,32.3
162,B cell,CCNB1,8.85
163,B cell,CCND2,2.75
164,B cell,CCND3,113.45
165,B cell,CCNG1,33.55
166,B cell,CCNG2,3.3
167,B cell,CCNH,17.05
168,B cell,CCNK,3.95
169,B cell,CCNY,2
170,B cell,CCR1,1.15
171,B cell,CCR2,4.5
172,B cell,CCR7,674.05
173,B cell,CCRL2,1.75
174,B cell,CD14,3.3
175,B cell,CD180,56.55
176,B cell,CD2,2.05
177,B cell,CD22,81.65
178,B cell,CD247,4.5
179,B cell,CD36,1.15
180,B cell,CD44,72.6
181,B cell,CD47,92.5
182,B cell,CD48,130.95
183,B cell,CD5,2.05
184,B cell,CD58,9.45
185,B cell,CD68,39.7
186,B cell,CD69,4.6
187,B cell,CD74,18158.6
188,B cell,CD82,181.65
189,B cell,CD83,17.85
190,B cell,CD86,24.6
191,B cell,CDC14A,2.75
192,B cell,CDC20,1.85
193,B cell,CDC25B,5.05
194,B cell,CDC34,1.05
195,B cell,CDC37,51.2
