Table S5: IEI Candidate Genes with Average in DCs > 1 TPM Filter,CellType,Gene,mean
1,Dendritic Cell,ABCA7,5.25
2,Dendritic Cell,ABI1,52.95
3,Dendritic Cell,ACER3,1.4
4,Dendritic Cell,ACP1,53.1
5,Dendritic Cell,ACPP,16.2
6,Dendritic Cell,ACSL5,18.1
7,Dendritic Cell,ACTA1,13.8
8,Dendritic Cell,ACTA2,4.9
9,Dendritic Cell,ACTN1,20.7
10,Dendritic Cell,ACTR2,130.1
11,Dendritic Cell,ACVR1,1.4
12,Dendritic Cell,ADAM15,30.2
13,Dendritic Cell,ADAM19,32.4
14,Dendritic Cell,ADAR,6.85
15,Dendritic Cell,ADCY7,9.85
16,Dendritic Cell,ADD3,22.55
17,Dendritic Cell,ADORA2B,3.9
18,Dendritic Cell,ADRB2,13.85
19,Dendritic Cell,AEBP2,2.15
20,Dendritic Cell,AEN,3.65
21,Dendritic Cell,AFF1,13.3
22,Dendritic Cell,AFF3,16.35
23,Dendritic Cell,AHI1,11.05
24,Dendritic Cell,AHNAK,40.35
25,Dendritic Cell,AHSA1,61.3
26,Dendritic Cell,AIFM1,21.2
27,Dendritic Cell,AIM2,1.65
28,Dendritic Cell,AKAP13,64.05
29,Dendritic Cell,AKAP8,6.25
30,Dendritic Cell,AKT1,7.7
31,Dendritic Cell,AKT2,3.2
32,Dendritic Cell,ALCAM,17.8
33,Dendritic Cell,ALOX5,21.05
34,Dendritic Cell,ALOX5AP,1653.95
35,Dendritic Cell,AMBRA1,1.9
36,Dendritic Cell,AMPD3,3.15
37,Dendritic Cell,ANK3,1.2
38,Dendritic Cell,ANKRD11,3.25
39,Dendritic Cell,ANKRD44,14.15
40,Dendritic Cell,ANO6,3.55
41,Dendritic Cell,ANP32A,25.45
42,Dendritic Cell,ANXA1,630.25
43,Dendritic Cell,ANXA2,2125.05
44,Dendritic Cell,ANXA4,28.55
45,Dendritic Cell,AP3S2,8.7
46,Dendritic Cell,APAF1,10.8
47,Dendritic Cell,APC,2.15
48,Dendritic Cell,APEX1,198.3
49,Dendritic Cell,APH1A,8.9
50,Dendritic Cell,APOBEC3D,2.8
51,Dendritic Cell,APOBEC3F,5.8
52,Dendritic Cell,APOL6,1.2
53,Dendritic Cell,APP,20.8
54,Dendritic Cell,ARAF,40.65
55,Dendritic Cell,ARFGAP1,4.5
56,Dendritic Cell,ARHGAP1,29.9
57,Dendritic Cell,ARHGAP10,1.35
58,Dendritic Cell,ARHGAP15,51
59,Dendritic Cell,ARHGAP24,7.75
60,Dendritic Cell,ARHGAP25,40.75
61,Dendritic Cell,ARHGAP26,1.5
62,Dendritic Cell,ARHGAP31,5.1
63,Dendritic Cell,ARHGAP5,5.85
64,Dendritic Cell,ARHGDIB,1310.25
65,Dendritic Cell,ARHGEF10L,5.85
66,Dendritic Cell,ARHGEF2,12
67,Dendritic Cell,ARHGEF3,8.85
68,Dendritic Cell,ARHGEF6,10.65
69,Dendritic Cell,ARHGEF7,5.8
70,Dendritic Cell,ARID1A,1.75
71,Dendritic Cell,ARID1B,5.15
72,Dendritic Cell,ARID3A,3.4
73,Dendritic Cell,ARID5B,1.35
74,Dendritic Cell,ARIH2,25.8
75,Dendritic Cell,ARNTL,5.15
76,Dendritic Cell,ARRB1,18.8
77,Dendritic Cell,ARRB2,47.85
78,Dendritic Cell,ARSG,4.75
79,Dendritic Cell,ASAP1,1.8
80,Dendritic Cell,ASCC3,4.2
81,Dendritic Cell,ASH2L,19
82,Dendritic Cell,ATF1,13.5
83,Dendritic Cell,ATF2,15.2
84,Dendritic Cell,ATF3,1.05
85,Dendritic Cell,ATF4,31.55
86,Dendritic Cell,ATG4C,23.05
87,Dendritic Cell,ATG7,42.4
88,Dendritic Cell,ATL1,1.55
89,Dendritic Cell,ATP13A1,5.1
90,Dendritic Cell,ATP6V0A1,8.15
91,Dendritic Cell,ATR,1.15
92,Dendritic Cell,AURKA,1.95
93,Dendritic Cell,AUTS2,1.7
94,Dendritic Cell,AXL,14.35
95,Dendritic Cell,B3GAT3,15.95
96,Dendritic Cell,BACH1,13.65
97,Dendritic Cell,BAD,65.45
98,Dendritic Cell,BAG1,26.65
99,Dendritic Cell,BAK1,25.8
100,Dendritic Cell,BANP,24.45
101,Dendritic Cell,BARD1,4.8
102,Dendritic Cell,BAX,11.15
103,Dendritic Cell,BCAP31,477.15
104,Dendritic Cell,BCAS3,7.8
105,Dendritic Cell,BCAT1,4.2
106,Dendritic Cell,BCL11A,455.55
107,Dendritic Cell,BCL2A1,10.65
108,Dendritic Cell,BCL2L1,10.7
109,Dendritic Cell,BCL2L11,1.3
110,Dendritic Cell,BCL3,2.35
111,Dendritic Cell,BCL6,12.6
112,Dendritic Cell,BCOR,3.2
113,Dendritic Cell,BECN1,86.85
114,Dendritic Cell,BHLHE40,14.25
115,Dendritic Cell,BID,263.15
116,Dendritic Cell,BIK,31.25
117,Dendritic Cell,BIN1,16.7
118,Dendritic Cell,BIRC2,24.2
119,Dendritic Cell,BIRC3,1.6
120,Dendritic Cell,BLK,8.1
121,Dendritic Cell,BLVRA,68.35
122,Dendritic Cell,BMI1,1.2
