Table S6: IEI Candidate Genes with Average in Myeloid Cells > 1 TPM Filter,CellType,Gene,mean
1,Myeloid,ABCA7,3.25
2,Myeloid,ABI1,66.63333333
3,Myeloid,ABLIM1,1.716666667
4,Myeloid,ACER3,1.116666667
5,Myeloid,ACP1,45.16666667
6,Myeloid,ACPP,33.01666667
7,Myeloid,ACSL5,17.2
8,Myeloid,ACTA1,17.66666667
9,Myeloid,ACTA2,11.48333333
10,Myeloid,ACTN1,81.25
11,Myeloid,ACTR2,193.7
12,Myeloid,ACVR1,1.183333333
13,Myeloid,ACVR1B,1.683333333
14,Myeloid,ADAM15,10.03333333
15,Myeloid,ADAM19,45.96666667
16,Myeloid,ADAR,11.53333333
17,Myeloid,ADCY7,8.1
18,Myeloid,ADD3,62.76666667
19,Myeloid,ADORA2B,4.1
20,Myeloid,ADRB2,17.76666667
21,Myeloid,AEBP2,2.433333333
22,Myeloid,AEN,1.683333333
23,Myeloid,AFF1,8.566666667
24,Myeloid,AHI1,1.5
25,Myeloid,AHNAK,27.15
26,Myeloid,AHSA1,53.58333333
27,Myeloid,AIFM1,12.96666667
28,Myeloid,AIM2,6.633333333
29,Myeloid,AKAP12,4.433333333
30,Myeloid,AKAP13,98.45
31,Myeloid,AKAP8,2.933333333
32,Myeloid,AKT1,16.13333333
33,Myeloid,AKT2,2.2
34,Myeloid,ALCAM,2.133333333
35,Myeloid,ALDH1A2,4.233333333
36,Myeloid,ALOX5,96.3
37,Myeloid,ALOX5AP,2196.983333
38,Myeloid,ALPL,41.25
39,Myeloid,AMBRA1,2.633333333
40,Myeloid,AMPD3,6.4
41,Myeloid,ANGPT1,1.083333333
42,Myeloid,ANKRD11,3.716666667
43,Myeloid,ANKRD28,2.116666667
44,Myeloid,ANKRD44,29
45,Myeloid,ANKS1B,1.216666667
46,Myeloid,ANO6,3.416666667
47,Myeloid,ANP32A,22.21666667
48,Myeloid,ANXA1,841.5
49,Myeloid,ANXA2,1707.15
50,Myeloid,ANXA4,32.63333333
51,Myeloid,AP3S2,10.63333333
52,Myeloid,APAF1,17.15
53,Myeloid,APBB1,1.983333333
54,Myeloid,APC,4.216666667
55,Myeloid,APEX1,36.33333333
56,Myeloid,APH1A,7.583333333
57,Myeloid,APOBEC3D,2.816666667
58,Myeloid,APOBEC3F,6.316666667
59,Myeloid,APOL6,4.9
60,Myeloid,APP,1.633333333
61,Myeloid,ARAF,39.58333333
62,Myeloid,AREG,2.816666667
63,Myeloid,ARFGAP1,4.8
64,Myeloid,ARHGAP1,34.15
65,Myeloid,ARHGAP10,2.533333333
66,Myeloid,ARHGAP12,1.233333333
67,Myeloid,ARHGAP15,78.73333333
68,Myeloid,ARHGAP24,3.533333333
69,Myeloid,ARHGAP25,202.6166667
70,Myeloid,ARHGAP26,4.783333333
71,Myeloid,ARHGDIB,3228.966667
72,Myeloid,ARHGEF10L,5.65
73,Myeloid,ARHGEF2,15.91666667
74,Myeloid,ARHGEF3,14.5
75,Myeloid,ARHGEF6,23.18333333
76,Myeloid,ARHGEF7,7.166666667
77,Myeloid,ARID1A,1.133333333
78,Myeloid,ARID1B,2.3
79,Myeloid,ARID3A,1.416666667
80,Myeloid,ARID5B,3.15
81,Myeloid,ARIH2,25.58333333
82,Myeloid,ARNTL,12.73333333
83,Myeloid,ARRB1,56.98333333
84,Myeloid,ARRB2,144.5833333
85,Myeloid,ARRDC4,1.1
86,Myeloid,ARSG,7.066666667
87,Myeloid,ASAP1,3
88,Myeloid,ASCC3,2.333333333
89,Myeloid,ASH2L,24.21666667
90,Myeloid,ATF1,14.58333333
91,Myeloid,ATF2,15.1
92,Myeloid,ATF3,2.233333333
93,Myeloid,ATF4,23.65
94,Myeloid,ATG4C,12.06666667
95,Myeloid,ATG7,67.86666667
