Table S8: IEI Candidate Genes with Average in T Cells > 1 TPM Filter,CellType,Gene,mean
1,T cell,AAK1,1.9
2,T cell,ABCA7,1.371428571
3,T cell,ABCB1,8.271428571
4,T cell,ABCC4,1.1
5,T cell,ABI1,63.68571429
6,T cell,ABLIM1,59.1
7,T cell,ACP1,101.8428571
8,T cell,ACSL5,24.02857143
9,T cell,ACTA1,10.35714286
10,T cell,ACTA2,18.41428571
11,T cell,ACTN1,33.34285714
12,T cell,ACTR2,96.67142857
13,T cell,ACVR1,2.557142857
14,T cell,ADAM15,5.485714286
15,T cell,ADAM19,5.257142857
16,T cell,ADAR,10.62857143
17,T cell,ADCY7,4.628571429
18,T cell,ADD3,84.91428571
19,T cell,ADRB2,37.77142857
20,T cell,AEBP2,4.428571429
21,T cell,AEN,10.61428571
22,T cell,AFF1,8.457142857
23,T cell,AGFG2,1.314285714
24,T cell,AHI1,4.028571429
25,T cell,AHNAK,22.71428571
26,T cell,AHSA1,68.48571429
27,T cell,AIFM1,13.65714286
28,T cell,AIFM2,1.185714286
29,T cell,AIM2,3.7
30,T cell,AKAP13,81.58571429
31,T cell,AKAP8,5.171428571
32,T cell,AKT1,8.4
33,T cell,AKT2,2.042857143
34,T cell,ALCAM,1.028571429
35,T cell,ALOX5AP,485.1857143
36,T cell,AMBRA1,2.142857143
37,T cell,AMPD3,3.057142857
38,T cell,ANK3,2.471428571
39,T cell,ANKRD11,2.828571429
40,T cell,ANKRD44,21.15714286
41,T cell,ANKS1B,1.371428571
42,T cell,ANO6,2.057142857
43,T cell,ANP32A,15.34285714
44,T cell,ANXA1,459.2714286
45,T cell,ANXA2,666.3142857
46,T cell,ANXA4,13.62857143
47,T cell,AP3S2,6.471428571
48,T cell,APAF1,2.714285714
49,T cell,APBB1,39.9
50,T cell,APC,2.071428571
51,T cell,APEX1,94.3
52,T cell,APH1A,8.171428571
53,T cell,APOBEC3D,5.385714286
54,T cell,APOBEC3F,7.528571429
55,T cell,APOL6,5.557142857
56,T cell,ARAF,36.65714286
57,T cell,ARFGAP1,4.285714286
58,T cell,ARHGAP1,21.57142857
59,T cell,ARHGAP10,5.457142857
60,T cell,ARHGAP12,3.214285714
61,T cell,ARHGAP15,124.6142857
62,T cell,ARHGAP25,105.9857143
63,T cell,ARHGAP26,1.471428571
64,T cell,ARHGAP5,4.057142857
65,T cell,ARHGDIB,2933.571429
66,T cell,ARHGEF2,10.95714286
67,T cell,ARHGEF3,73.02857143
68,T cell,ARHGEF6,13.71428571
69,T cell,ARHGEF7,7.085714286
70,T cell,ARID1A,1.6
71,T cell,ARID1B,3.385714286
72,T cell,ARID5B,12.68571429
73,T cell,ARIH2,32.45714286
74,T cell,ARNTL,18.35714286
75,T cell,ARRB1,6.142857143
76,T cell,ARRB2,37.75714286
77,T cell,ARSG,5.885714286
78,T cell,ASCC3,3.857142857
